URL,Date
https://www.snopes.com/fact-check/jennifer-lopez-fled-us-diddy-threat/,2024-11-13
https://www.snopes.com/fact-check/gaetz-mug-shot-attorney-general/,2024-11-13
https://www.snopes.com/fact-check/biden-reporter-hit-in-the-head-gaza/,2024-11-13
https://www.snopes.com/fact-check/elon-musk-ban-stephen-king-x/,2024-11-13
https://www.snopes.com/fact-check/pete-hegseth-defense-germs/,2024-11-13
https://www.snopes.com/fact-check/harris-campaign-debt/,2024-11-13
https://www.snopes.com/fact-check/musk-starlink-2024-election/,2024-11-13
https://www.snopes.com/fact-check/megan-rapinoe-leaving-us/,2024-11-13
https://www.snopes.com/fact-check/elf-2-on-max/,2024-11-13
https://www.snopes.com/fact-check/trump-republicans-dumbest-voters-no-evidence/,2024-11-12
https://www.snopes.com/fact-check/mother-pride-flag-classroom/,2024-11-12
https://www.snopes.com/fact-check/kroger-food-lion-publix-4-percent-price-cut-trump/,2024-11-12
https://www.snopes.com/fact-check/disney-closing-hall-of-presidents/,2024-11-12
https://www.snopes.com/fact-check/sephora-donation-trump-campaign/,2024-11-12
https://www.snopes.com/fact-check/nato-trump-ukraine-putin/,2024-11-12
https://www.snopes.com/fact-check/russian-tv-melania-trump/,2024-11-12
https://www.snopes.com/fact-check/eminem-liberal-snowflake-quote/,2024-11-12
https://www.snopes.com/fact-check/2024-election-map-only-women-voted/,2024-11-12
https://www.snopes.com/fact-check/obama-said-bring-socialism-to-the-us/,2024-11-11
https://www.snopes.com/fact-check/kimmel-trump-cancellation/,2024-11-11
https://www.snopes.com/fact-check/beyonce-boycott-red-states/,2024-11-11
https://www.snopes.com/fact-check/elon-musk-photo-chest-stomach/,2024-11-11
https://www.snopes.com/fact-check/fema-trump-houses/,2024-11-11
https://www.snopes.com/fact-check/taylor-swift-red-states/,2024-11-11
https://www.snopes.com/fact-check/humpback-whale-eye-photo/,2024-11-11
https://www.snopes.com/fact-check/los-angeles-underground-starbucks/,2024-11-11
https://www.snopes.com/fact-check/civil-war-veteran-deathbed/,2024-11-10
https://www.snopes.com/fact-check/spider-man-tray-catch/,2024-11-10
https://www.snopes.com/fact-check/photos-france-mary-magdalene-skull/,2024-11-10
https://www.snopes.com/fact-check/doomsday-fish-photo-oarfish/,2024-11-10
